 main_id, assoc, spec_type, RA_h, RA_m, RA_s, ra, Dec_d, Dec_m, Dec_s, dec, pmra, e_pmra, pmdec, e_pmdec, dist, e_dist, radvel, e_radvel, HR1, NUVmag, e_NUVmag, Gmag, e_Gmag, Jmag, e_Jmag, IR_ex, known_assoc, youth, ref, S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20, S21, S22, S23, S24, S25, S26, MatchID, MatchRA, MatchDEC, pmRA_, pmDEC_, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, pmRA Err., pmDec Err., Parallax, Parallax Err., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
118 Tau,118TAU,B8V,0,0,NaN,82.31875,0,0,NaN,25.15022222,11,1,-37.2,0.5,130,10,15,4,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286135836,82.318735,25.150226,7.6,-39.8,5.834,STAR,2mass,0.050739456,20180610,25695,1852-01198-1,576-016162,05291649+2509008,,,,,,0.9,0.8,7.52,1.09,5.767,0.023,5.47477,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.824,0.027,5.882,0.018,5.887,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.035,10568,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,132.9787,19.2748,NaN,NaN,155,0.5679541,,,1
HD 36546,118TAU,A0V,0,0,NaN,83.37816667,0,0,NaN,24.62880556,9.2,0.8,-41.8,0.3,114,8,20,1,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74214081,83.378195,24.628811,6.14,-40.98,6.938,STAR,2mass,0.0947557,20180610,26062,1852-01694-1,574-016883,05333076+2437438,,J053330.76+243743.3,3.42E+18,45485916,,2,2,8.78,0.61,7.021,0.025,6.97677,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.845,0.024,6.922,0.042,6.815,0.023,6.813,0.066,6.747,0.023,5.131,0.015,2.29,0.02,6.97743,0.000345996,0.019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,113.895,NaN,NaN,NaN,170,0.01182822,,,NaN
HD 245358,118TAU,G5V,0,0,NaN,84.21533333,0,0,NaN,23.43483333,6.2,0.6,-37.6,0.6,108,4,14.5,0.5,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19699155,84.21535,23.434808,6.24525,-37.6134,8.032,STAR,2mass,0.106522546,20180610,,1861-00951-1,568-018467,05365168+2326053,,J053651.68+232605.0,3.40E+18,45488423,,0.572312,0.573775,9.23929,0.334601,9.521,0.037,8.81,0.003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.328,0.029,7.022,0.021,6.913,0.02,6.868,0.063,6.881,0.022,6.888,0.017,6.734,0.076,8.55341,0.000345996,0.019,6531,199,3.91912,0.320282,NaN,NaN,2.10948,0.25514,1.34598,0.282545,DWARF,7.293975,1.764401,108.2334,5.26445,NaN,NaN,112,0.001057558,,,NaN
V1366 Tau,118TAU,K4V,0,0,NaN,82.427,0,0,NaN,23.56969444,1,5,-43,5,NaN,NaN,17.1,0.5,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19559847,82.426994,23.569724,3.60108,-33.8094,11.124,STAR,2mass,0.108241979,20180610,,,568-017312,05294247+2334110,,J052942.48+233410.5,3.42E+18,45483094,,2.35617,2.35617,NaN,NaN,14.799,0.132,13.378,0.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.659,0.021,9.023,0.022,8.783,0.02,8.677,0.023,8.533,0.02,8.407,0.025,8.443,0.316,12.1561,0.000372212,0.017,3487,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
2MASS J05390093+2322079,118TAU,M6e,0,0,NaN,84.75391667,0,0,NaN,23.36891667,-2,4,-46,4,NaN,NaN,14.8,0.6,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19932426,84.753911,23.368883,NaN,NaN,14.903,STAR,2mass,0.12265173,20180610,,,,05390093+2322079,,J053900.94+232207.6,,,,NaN,NaN,NaN,NaN,20.207,0.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.682,0.024,12.106,0.023,11.792,0.02,11.529,0.024,11.273,0.021,10.967,0.142,8.602,NaN,NaN,NaN,0.095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
HD 244354,118TAU,G2IV,0,0,NaN,82.76829167,0,0,NaN,23.20966667,5.6,0.05,-38,0.1,118,5,13.8,0.6,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432909199,82.768253,23.209662,5.59586,-38.0249,8.45,STAR,2mass,0.129045236,20180610,25848,1848-00774-1,567-017010,05310438+2312347,,J053104.38+231234.3,3.42E+18,45483957,,0.100039,0.0523231,8.49471,0.348213,9.841,0.048,9.17,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.818,0.026,7.507,0.042,7.403,0.024,7.316,0.037,7.343,0.021,7.348,0.018,7.07,0.1,8.91825,0.000345996,0.019,6254,195,3.99288,0.306313,NaN,NaN,1.84097,0.237826,1.21491,0.199897,DWARF,4.671105,1.206875,117.7203,6.36947,NaN,NaN,158,0.2059517,,,NaN
HD 245924,118TAU,K0IV,0,0,NaN,84.87891667,0,0,NaN,23.10911111,3,1,-36,1,109,4,15.1,0.5,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19934471,84.878901,23.109146,3.29298,-35.5802,8.71,STAR,2mass,0.135898727,20180610,,1861-01272-1,566-018431,05393093+2306330,,J053930.93+230632.6,3.40E+18,45488719,,1.37405,1.22028,9.20097,0.331626,10.469,0.064,9.695,0.005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.944,0.019,7.463,0.021,7.353,0.017,7.207,0.032,7.225,0.019,7.206,0.017,7.106,0.113,9.27753,0.000345996,0.017,4856,179,3.7399,0.33077,NaN,NaN,1.98667,0.307018,0.790169,0.0930921,GIANT,1.977247,0.6111235,108.6842,3.78098,NaN,NaN,94,0.07328093,,,NaN
V1364 Tau,118TAU,G4V,0,0,NaN,80.97766667,0,0,NaN,25.51327778,4,3,-34,3,NaN,NaN,14.2,0.5,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54185105,80.97765,25.513327,NaN,NaN,10.931,STAR,2mass,0.185284389,20180610,,,578-015715,05235463+2530479,,J052354.68+253046.6,,47462175,,NaN,NaN,NaN,NaN,13.764,0.074,12.484,0.092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.717,NaN,9.073,0.027,8.918,0.033,8.527,0.023,8.504,0.021,8.464,0.027,8.339,0.288,NaN,NaN,0.032,3927,169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
V1361 Tau,118TAU,G7IV,0,0,NaN,80.445125,0,0,NaN,24.01233333,12,1,-47,2,89,2,13.1,0.5,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54006139,80.445189,24.012315,11.9713,-47.4033,9.514,STAR,2mass,0.220563204,20180610,,1847-00419-1,571-016611,05214684+2400444,,J052146.84+240044.0,3.42E+18,45479385,,1.82944,1.46735,11.2444,0.224707,11.493,0.11,10.375,0.011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.727,0.02,8.203,0.024,8.07,0.021,7.882,0.027,7.932,0.021,7.865,0.021,7.659,0.236,10.0957,0.000345996,0.017,4765,170,4.14184,0.315046,NaN,NaN,1.2218,0.173855,0.766891,0.0903315,GIANT,0.2916303,0.06877126,88.93293,1.7424,NaN,NaN,0,NaN,,,NaN
2MASS J05373850+2428517,118TAU,M5.25e,0,0,NaN,84.41045833,0,0,NaN,24.48091667,2,4,-39,4,NaN,NaN,14.7,0.6,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74920885,84.410431,24.481026,4.06512,-36.5893,13.667,STAR,2mass,0.403645178,20180610,,,,05373850+2428517,,J053738.50+242851.4,3.40E+18,,,2.13292,2.1329,NaN,NaN,19.291,0.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.668,0.022,11.066,0.02,10.78,0.018,10.601,0.023,10.342,0.02,10.191,0.081,8.323,NaN,14.9969,0.00153129,0.017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
